"Philosophie
",Grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,"Philosophie
"
Grec ancien,dialectes,hellénique,signes linguistiques,ouvert,omnis,relation,raisonnements logiques,notion,connaissance,philosophie,signes linguistiques,ouvert,omnis,relation,raisonnements logiques,notion,connaissance,philosophie,grec ancien
langue grecque,arcadochypriote,forme moderne,vocaux,fermé,axiomatique,symétrique,nombres,sens,empiriques,proposition,vocaux,fermé,axiomatique,symétrique,nombres,sens,empiriques,proposition,sagesse
langue,attique,démotique,graphiques,isolé,théorie des ensembles,ensembles,formes,langage,concept,savoir-faire,graphiques,isolé,théorie des ensembles,ensembles,formes,langage,concept,savoir-faire,Antiquité
système,ionien-attique,locuteurs,gestuels,grec ancien,appartenance,classes,structures,sciences cognitives,philosophie,acquaintance,gestuels,grec ancien,appartenance,classes,structures,sciences cognitives,philosophie,acquaintance,Occident
ensemble,Athènes antique,Grèce,communication,histoire des sciences,fonder les mathématiques,théorie des ensembles usuelle,transformations,philosophes contemporains,,croyance,communication,histoire des sciences,fonder les mathématiques,théorie des ensembles usuelle,transformations,philosophes contemporains,,croyance, Orient
éléments,littérature grecque,Chypre,sociolinguistique,modèle mathématique,mathématique,axiome extensionnalité,recherche,gnoséologie,,vraie,sociolinguistique,modèle mathématique,mathématique,axiome extensionnalité,recherche,gnoséologie,,vraie,vérité
mathématiques,période hellénistique,diaspora,idiome,axiomes,Georg Cantor,,discipline,science,,Edmund Gettier,idiome,axiomes,Georg Cantor,,discipline,science,,Edmund Gettier,méditation
connaissances,koinè,minoritaires,communication,Aristote,relation,,arithmétique,philosophie,,vraie,communication,Aristote,relation,,arithmétique,philosophie,,vraie,juste
notion,lingua franca,Turquie,identification,newtonien,Zermelo,,algèbre,épistémologie,,Théétète,identification,newtonien,Zermelo,,algèbre,épistémologie,,Théétète,beau
connaissance,Antiquité,Italie,langue naturelle,système nerveux,mathématiques,,,,,,langue naturelle,système nerveux,mathématiques,,,,,,bien
,,,,,,,,,,,,,,,,,,,
"Philosophie
",,,,,,,,,,,,,,,,,,,
grec ancien,,,,,,,,,,,,,,,,,,,
sagesse,,,,,,,,,,,,,,,,,,,
Antiquité,,,,,,,,,,,,,,,,,,,
Occident,,,,,,,,,,,,,,,,,,,
 Orient,,,,,,,,,,,,,,,,,,,
vérité,,,,,,,,,,,,,,,,,,,
méditation,,,,,,,,,,,,,,,,,,,
juste,,,,,,,,,,,,,,,,,,,
beau,,,,,,,,,,,,,,,,,,,
bien,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Philosophie
",,,,,,,,,,,,,,,,,,,
grec ancien,,,,,,,,,,,,,,,,,,,
sagesse,,,,,,,,,,,,,,,,,,,
Antiquité,,,,,,,,,,,,,,,,,,,
Occident,,,,,,,,,,,,,,,,,,,
 Orient,,,,,,,,,,,,,,,,,,,
vérité,,,,,,,,,,,,,,,,,,,
méditation,,,,,,,,,,,,,,,,,,,
juste,,,,,,,,,,,,,,,,,,,
beau,,,,,,,,,,,,,,,,,,,
bien,,,,,,,,,,,,,,,,,,,
